# groupAddr    treeIndex    host    root(true/false)
10000          0            15       0
10000          0            16       0
10000          0            17       0
10000          0            18       0
10000          0            19       0
10000          0            20       0
10000          0            21       0
10000          0            22       0
10000          0            23       0
10000          0            24       0
10000          0            25       0
10000          0            26       0
10000          0            27       0
10000          0            28       0
10000          0            29       0
10000          0            30       0
10000          0            31       1
